,tokens,tokens_contract,Transfers (24H),Transfers (3D)
0,fRiENDSiES,0xe5af63234f93afd72a8b9114803e33f6d9766956,"12,435","12,441"
1,MadMouseCircus,0x74d9d90a7fc261fbe92ed47b606b6e0e00d75e70,"9,269","9,299"
2,APPLE,0x7B9Aa3A8a4661f126b61A632a25e352bdbD19cdD,"6,295","10,120"
3,Wasteland,0xd1Bb5AFc41bf57a04E5729f7bf9276E8f300B417,"5,629","5,629"
4,Arcade Land,0x4a8C9D751EEAbc5521A68FB080DD7E72E46462aF,"5,611","18,694"
5,Demonized Azuki,0xad4d85257c815a4b2c7088a664e958b035b24323,"5,492","5,548"
6,Rolex,0x52b416E284303B223Cda59Ccb3D6fE0e422Ceb3B,"5,392","8,082"
7,Mutant Shiba Club,0xca95777971c7c438eecbd8bfc23249fbee99e716,"5,263","10,865"
8,Ethereum Name Service (ENS),0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,"4,818","12,359"
9,Louis Vuitton,0x35C5a191593271333147ed238894F6DC88D97Da5,"4,755","7,441"
10,Garbage Friends,0x162545d5442a620A73877951e97645c0905b6045,"4,704","5,127"
11,Toodles,0x847e696ac0a0dff058cc34b04725fc3d2ed686cb,"4,589","4,618"
12,Doodzuki,0xf5047a87fb67c68b043760dc710670e12fc20a00,"4,137","4,137"
13,Kiwami,0x701A038aF4Bd0fc9b69A829DdcB2f61185a49568,"4,003","7,033"
14,VictoriasSecret,0x68aABCECCcAefBA1DFB76949F1140767B9AAa803,"3,906","3,906"
15,Murakami flowers,0xBD727E8Ed5E684029AFa35e308C56588b95DA5e1,"3,332","5,908"
16,Akuma,0xFA7E3F898c80E31A3aedeAe8b0C713a3F9666264,"3,245","12,813"
17,Louis Vuitton Ape,0x456764666DA6B2d27F0F5967202f0c4C5CE542Ab,"3,103","5,008"
18,BAYC Otherside Land,0xb2EC38aE446458592d2ed030cA34141Ce2943E77,"3,026","3,026"
19,Clay Boys,0xC357E8B286d0a5Ce8fF708eC2720B8d24D3cf160,"2,988","2,988"
20,OtherMonkeV5,0x9a1e04e2e744e1734e6eb03060a68b1df2f2e360,"2,933","2,933"
21,Fighter,0x87E738a3d5E5345d6212D8982205A564289e6324,"2,795","7,111"
22,Possessed,0xfb81cd2f66f772436260f73ff547a06a6c2d8a17,"2,785","3,924"
23,Zuki Ape Yacht Club,0x04459ea2da55b963ef6d3e1b0ca059198374fefe,"2,491","2,491"
24,BAYC Otherside Land,0xadcE85Bb3Ade193e8dF002F39CB9EBFd2D2B7222,"2,420","2,420"
25,PATEK PHILIPPE,0x14514ca4427e96d19aa94ab8ee7f35bc930cc4d0,"2,345","4,003"
26,Coca-Cola,0x11Ed558874785f48e96e80e030aed8e7F96824a5,"2,320","5,760"
27,TrippyToadz,0x19cb5b009bdad0dad0404dd860b0bea75465e678,"2,309","2,913"
28,Adidas Bayc,0xfb0DbC903181CB445ba5114cD35172A6C5253C4E,"2,307","4,289"
29,Something,0xF8cEd4bDfA1f72ECfee2f98229E8f13DED7C40F1,"2,300","2,723"
30,LionHeart,0x58bD0391f0Da9AFA38836a2E0b1FE1088d1Ce535,"2,248","2,973"
31,XenoInfinity,0x5c2877fb8992d22b8d764e7d799b7f89d8130ecb,"2,196","2,238"
32,Shinsekai,0xe1e20C0B87b008374826f99e165d4fb6f925290E,"2,163","13,523"
33,AzukiX,0xa108bd591ef5c11c80ab22e96b236a88dfe928de,"2,095","2,095"
34,Teddy Bear Squad Cubs,0xD8CC0EFbd1c7B0BE32b5F4b3613FF3cc4D2AF5F2,"1,999","1,999"
35,EveraiDuo,0x9a38DEC0590aBC8c883d72E52391090e948DdF12,"1,990","4,129"
36,Something,0x306b1ea3ecdf94aB739F1910bbda052Ed4A9f949,"1,983","25,018"
37,0xRED,0xC1a2f17A31E8Fb8C45aAcc8c62C099339Ab89d0A,"1,930","1,940"
38,Freaks N Guilds Migrated,0x23bf44d3c8c82e41d0efaaa9fdc66466c1dd5f6c,"1,896","3,221"
39,Rad Rides,0x69c2E562FAfB63E9367D2B0189A997B9B4F2d3Ff,"1,835","1,835"
40,The Babies,0x2080AEbA2Bcd1A3fF98DEAC2bAf4Bd05D64C75e3,"1,706","2,150"
41,Fvck Buddy,0x7bC504A24864F3717D442A8b72C30555A627D8C2,"1,694","1,719"
42,Louis Vuitton Ape,0x190eD75c6B6861187D6941E91f54CFD3D0526E2D,"1,684","1,693"
43,McDonald,0xDEBaAd8220Ef6B0e69cC91ce8d1C8629Aaf32faE,"1,598","3,590"
44,Dreadfulz,0x81Ae0bE3A8044772D04F32398bac1E1B4B215aa8,"1,522","19,385"
45,Zombie NFTs by Braindom,0xEABFaF3e6844F02EA9f886192979e914363c3B3b,"1,400","1,400"
46,Louis Vuitton X Murakami,0x4D5Be2853A042595550d704c461A24caA8db94e6,"1,393","6,247"
47,Loveless City Abnormal Jean,0x1225a39C666623e167506e698ea9aBe3B604A807,"1,370","2,167"
48,Crypto Polar Bears,0x2416bd7bd7e213fa526c41dd1c582b471297f847,"1,334","1,401"
49,PREMINT Collector,0xe0176bA60efddb29Cac5b15338C9962dAee9de0c,"1,325","14,371"
